district_code,DIST_NAME,EOHHS_REGION,region_confidence,SCHOOL_TYPE
4680000,Ma Academy for Math and Science,Unknown,no_intersection,Traditional
1650000,Malden,Northeast,largest-area,Traditional
6980000,Manchester Essex Regional,Northeast,largest-area,Traditional
1670000,Mansfield,Southeast,largest-area,Traditional
35170000,Map Academy Charter School (District),Unknown,no_intersection,Charter
1680000,Marblehead,Northeast,largest-area,Traditional
4640000,Marblehead Community Charter Public (District),Northeast,host-town-inferred,Charter
1690000,Marion,Southeast,largest-area,Traditional
1700000,Marlborough,Metro West,largest-area,Traditional
1710000,Marshfield,Southeast,largest-area,Traditional
7000000,Martha's Vineyard,Southeast,largest-area,Traditional
4660000,Martha's Vineyard Charter Public School (District),Unknown,no_intersection,Charter
4920000,"Martin Luther King, Jr. Charter School of Excellence (District)",Unknown,no_intersection,Charter
7050000,Masconomet,Northeast,largest-area,Traditional
1720000,Mashpee,Southeast,largest-area,Traditional
4690000,Match Charter Public School (District),Boston,host-town-curated,Charter
4650000,MATCH Community Day Charter Public School (District),Unknown,no_intersection,Charter
1730000,Mattapoisett,Southeast,largest-area,Traditional
1740000,Maynard,Metro West,largest-area,Traditional
1750000,Medfield,Metro West,largest-area,Traditional
1760000,Medford,Northeast,largest-area,Traditional
1770000,Medway,Central,largest-area,Traditional
1780000,Melrose,Northeast,largest-area,Traditional
7100000,Mendon-Upton,Central,largest-area,Traditional
1810000,Methuen,Northeast,largest-area,Traditional
1820000,Middleborough,Southeast,largest-area,Traditional
1840000,Middleton,Northeast,largest-area,Traditional
1850000,Milford,Central,largest-area,Traditional
1860000,Millbury,Central,largest-area,Traditional
1870000,Millis,Metro West,largest-area,Traditional
1890000,Milton,Metro West,largest-area,Traditional
8300000,Minuteman Regional Vocational Technical,Unknown,no_intersection,Vocational
7170000,Mohawk Trail,Western,largest-area,Traditional
7120000,Monomoy Regional School District,Southeast,largest-area,Traditional
1910000,Monson,Western,largest-area,Traditional
8320605,Montachusett Regional Vocational Technical,Unknown,no_intersection,Vocational
7150000,Mount Greylock,Western,largest-area,Traditional
4700000,Mystic Valley Regional Charter (District),Northeast,host-town-curated,Charter
1960000,Nahant,Northeast,largest-area,Traditional
1970000,Nantucket,Southeast,largest-area,Traditional
7200000,Narragansett,Central,largest-area,Traditional
7250000,Nashoba,Central,largest-area,Traditional
8520000,Nashoba Valley Regional Vocational Technical,Unknown,no_intersection,Vocational
1980000,Natick,Metro West,largest-area,Traditional
6600000,Nauset,Southeast,largest-area,Traditional
1990000,Needham,Metro West,largest-area,Traditional
4440000,Neighborhood House Charter (District),Unknown,no_intersection,Charter
2010000,New Bedford,Southeast,largest-area,Traditional
4720000,New Bedford Global Learning Charter (District),Southeast,host-town-curated,Charter
35130000,New Heights Charter School of Brockton (District),Southeast,host-town-curated,Charter
4710000,New Leadership Charter (District),Unknown,no_intersection,Charter
4670000,New Liberty Charter School of Salem (District),Northeast,host-town-inferred,Charter
7280000,New Salem-Wendell,Western,largest-area,Traditional
2040000,Newburyport,Northeast,largest-area,Traditional
2070000,Newton,Metro West,largest-area,Traditional
2080000,Norfolk,Metro West,largest-area,Traditional
9150705,Norfolk County Agricultural,Metro West,host-town-inferred,Vocational
2090000,North Adams,Western,largest-area,Traditional
2110000,North Andover,Northeast,largest-area,Traditional
2120000,North Attleborough,Southeast,largest-area,Traditional
2150000,North Brookfield,Central,largest-area,Traditional
7350000,North Middlesex,Central,largest-area,Traditional
2170000,North Reading,Northeast,largest-area,Traditional
8540000,North Shore Regional Vocational Technical,Unknown,no_intersection,Vocational
4730000,North Star Academy Charter,Unknown,no_intersection,Charter
2100000,Northampton,Western,largest-area,Traditional
4060000,Northampton-Smith Vocational Agricultural,Western,host-town-inferred,Vocational
7300000,Northboro-Southboro,Metro West,largest-area,Traditional
2130000,Northborough,Metro West,largest-area,Traditional
2140000,Northbridge,Central,largest-area,Traditional
8530000,Northeast Metropolitan Regional Vocational Technical,Unknown,no_intersection,Vocational
8510000,Northern Berkshire Regional Vocational Technical,Unknown,no_intersection,Vocational
2180000,Norton,Southeast,largest-area,Traditional
