District,YEAR,Metric,Value
Agawam,2015,Out-of-District FTE Pupils,134.0
Agawam,2016,Out-of-District FTE Pupils,119.4
Agawam,2017,Out-of-District FTE Pupils,120.1
Agawam,2018,Out-of-District FTE Pupils,115.5
Agawam,2019,Out-of-District FTE Pupils,158.5
Agawam,2020,Out-of-District FTE Pupils,149.1
Agawam,2021,Out-of-District FTE Pupils,166.1
Agawam,2022,Out-of-District FTE Pupils,180.5
Agawam,2023,Out-of-District FTE Pupils,175.8
Agawam,2024,Out-of-District FTE Pupils,167.6
Alma del Mar Charter School (District),2019,In-District FTE Pupils,440.0
Alma del Mar Charter School (District),2020,In-District FTE Pupils,639.9
Alma del Mar Charter School (District),2021,In-District FTE Pupils,787.7
Alma del Mar Charter School (District),2022,In-District FTE Pupils,936.1
Alma del Mar Charter School (District),2023,In-District FTE Pupils,1034.5
Alma del Mar Charter School (District),2024,In-District FTE Pupils,1038.8
Alma del Mar Charter School (District),2019,Out-of-District FTE Pupils,0.0
Alma del Mar Charter School (District),2020,Out-of-District FTE Pupils,0.0
Alma del Mar Charter School (District),2021,Out-of-District FTE Pupils,0.0
Alma del Mar Charter School (District),2022,Out-of-District FTE Pupils,0.0
Alma del Mar Charter School (District),2023,Out-of-District FTE Pupils,0.0
Alma del Mar Charter School (District),2024,Out-of-District FTE Pupils,0.0
Amesbury,2009,In-District FTE Pupils,2318.4
Amesbury,2010,In-District FTE Pupils,2398.4
Amesbury,2011,In-District FTE Pupils,2364.2
Amesbury,2012,In-District FTE Pupils,2325.8
Amesbury,2013,In-District FTE Pupils,2312.9
Amesbury,2014,In-District FTE Pupils,2342.1
Amesbury,2015,In-District FTE Pupils,2272.2
Amesbury,2016,In-District FTE Pupils,2208.4
Amesbury,2017,In-District FTE Pupils,2150.5
Amesbury,2018,In-District FTE Pupils,2122.7
Amesbury,2019,In-District FTE Pupils,2044.4
Amesbury,2020,In-District FTE Pupils,2015.8
Amesbury,2021,In-District FTE Pupils,1861.9
Amesbury,2022,In-District FTE Pupils,1806.8
Amesbury,2023,In-District FTE Pupils,1789.1
Amesbury,2024,In-District FTE Pupils,1817.9
Amesbury,2009,Out-of-District FTE Pupils,217.0
Amesbury,2010,Out-of-District FTE Pupils,172.6
Amesbury,2011,Out-of-District FTE Pupils,171.0
Amesbury,2012,Out-of-District FTE Pupils,168.0
Amesbury,2013,Out-of-District FTE Pupils,180.6
Amesbury,2014,Out-of-District FTE Pupils,169.5
Amesbury,2015,Out-of-District FTE Pupils,172.5
Amesbury,2016,Out-of-District FTE Pupils,158.0
Amesbury,2017,Out-of-District FTE Pupils,148.2
Amesbury,2018,Out-of-District FTE Pupils,145.7
Amesbury,2019,Out-of-District FTE Pupils,151.5
Amesbury,2020,Out-of-District FTE Pupils,180.3
Amesbury,2021,Out-of-District FTE Pupils,175.2
Amesbury,2022,Out-of-District FTE Pupils,190.1
Amesbury,2023,Out-of-District FTE Pupils,192.3
Amesbury,2024,Out-of-District FTE Pupils,238.8
Amherst,2009,In-District FTE Pupils,1387.2
