Year,Cohort,District,FTE_In_District,FTE_Out_District,FTE_Foundation,Teachers_PPE,"Insurance, Retirement and Other_PPE",Pupil Services_PPE,Other Teaching Services_PPE,Operations and Maintenance_PPE,Instructional Leadership_PPE,Administration_PPE,"Guidance, Counseling and Testing_PPE",Other_PPE,Ch70 Aid,Req NSS (minus Ch70),Actual NSS (minus Req NSS)
2009,Medium,Pioneer Valley,,,,4389.0,2475.0,1489.0,1327.0,1053.0,702.0,463.0,360.0,627.0,,,
2009,Medium,Ware,,,,3961.0,2035.0,1155.0,1047.0,1027.0,679.0,450.0,388.0,202.0,6135.491359879789,3001.45830202855,537.9375605299232
2009,Large,Agawam,,,,4535.0,2076.0,1008.0,1059.0,1067.0,618.0,424.0,478.0,425.0,3783.053464892153,4469.489215236347,1771.206516750803
2009,Large,Belchertown,,,,3740.0,1439.0,1103.0,834.0,1106.0,494.0,296.0,531.0,453.0,4875.592592592592,3010.977037037037,725.7714482927736
2009,Large,Central Berkshire,,,,4199.0,2363.0,1470.0,792.0,1096.0,739.0,475.0,292.0,334.0,,,
2009,Large,Chicopee,,,,4792.0,1624.0,1254.0,772.0,1075.0,909.0,456.0,221.0,502.0,6386.96307120085,2844.325850159405,196.55447951774727
2009,Large,East Longmeadow,,,,4382.0,1223.0,876.0,1027.0,761.0,512.0,384.0,349.0,410.0,,,
2009,Large,Hampden-Wilbraham,,,,4112.0,1615.0,1336.0,864.0,889.0,618.0,328.0,399.0,324.0,3217.372398685652,4762.77108433735,1052.4759036144578
2009,Large,Holyoke,,,,6122.0,1872.0,1649.0,1319.0,1170.0,1179.0,548.0,452.0,906.0,9717.463512544802,121.26637992831542,482.8273605073054
2009,Large,Longmeadow,,,,4843.0,1422.0,715.0,1012.0,1142.0,626.0,467.0,497.0,612.0,1463.8169200264376,6872.062128222075,2505.553881176032
2009,Large,Ludlow,,,,4184.0,1837.0,1222.0,917.0,754.0,732.0,353.0,306.0,383.0,4194.614545454546,4042.635041322314,1317.8433114917466
2009,Large,Northampton,,,,4068.0,1980.0,906.0,1169.0,1073.0,815.0,494.0,360.0,389.0,2608.3304809052333,6369.864214992928,680.3694396496012
2009,Large,Palmer,,,,4655.0,1899.0,1221.0,659.0,682.0,620.0,300.0,236.0,272.0,5810.472049689441,2417.2080745341614,309.14778377586885
2009,Large,Pittsfield,,,,4406.0,2567.0,850.0,1042.0,1143.0,1157.0,251.0,387.0,587.0,5611.4783427495295,3489.5706214689267,545.2866518385042
2009,Large,South Hadley,,,,4556.0,1638.0,934.0,1037.0,986.0,600.0,431.0,319.0,593.0,,,
2009,Large,Southwick-Tolland-Granville Regional School District,,,,4299.0,909.0,1125.0,716.0,707.0,692.0,395.0,412.0,499.0,,,
2009,Large,West Springfield,,,,4281.0,1705.0,1167.0,912.0,861.0,621.0,350.0,530.0,456.0,,,
2009,Large,Westfield,,,,4603.0,2637.0,1099.0,924.0,897.0,828.0,311.0,458.0,420.0,5489.039825862625,3179.8053853595616,1132.922507173539
2009,Springfield,Springfield,,,,5839.0,2050.0,1651.0,1143.0,1150.0,719.0,533.0,380.0,1143.0,9305.291765539225,247.4353721937184,-150.18947189120735
2010,Tiny,Chesterfield-Goshen,,,,4224.0,1237.0,1315.0,756.0,989.0,722.0,568.0,193.0,547.0,4403.174418604651,4261.447674418605,1665.4825581395348
