Track,Album Name,Artist,Release Date,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Likes,TikTok Views,Explicit Track
Babba,Black Book ID's: Chapter 5 - EP,Guy Mac,3/3/2023,176.2,"46,567",252,6.0,"2,038,459,981","6,076,902",,,0
Heat Waves,Heat Waves,Glass Animals,6/29/2020,175.0,"2,996,181,078",486278,82.0,"1,272,898,075","14,947,520","513,334,446","5,518,429,969",0
In the End,Papercuts,Linkin Park,4/12/2024,174.8,"2,045,512,421",97,,,,,,0
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,1/11/2023,174.3,"946,941,510",100130,74.0,"776,436,101","12,951,756","797,017,650","11,936,401,096",0
The Way We Move - Extended Mix,The Way We Move,PowerDress,3/10/2023,173.6,"7,909",38,4.0,"1,999,374,091","5,708,577",,,0
Old Town Road,Old Town Road,Lil Nas X,3/14/2019,170.3,"1,010,494,713",127393,67.0,"3,203,314,695","41,487,213","187,301,054","1,981,431,049",0
un x100to,un x100to,Grupo Frontera,4/17/2023,170.2,"1,008,495,696",99381,75.0,"878,892,413","4,425,283","127,651,887","1,669,065,906",0
Laxed ï¿½ï¿½ï¿½ Sire,Laxed (Siren Beat),Jawsh 685,4/24/2020,168.9,,10230,,"12,489,728","339,414","919,945,708","12,221,514,692",0
Sprinter,Sprinter - Single,Dave,6/1/2023,168.1,"692,512,930",199828,78.0,"219,666,692","2,332,307","130,560,533","1,254,944,697",1
CHIHIRO,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,167.8,"169,410,711",11028,90.0,"19,402,457","997,411",,,0
TQG,TQG,KAROL G,2/23/2023,167.8,"1,024,381,758",78554,78.0,"1,102,289,596","8,953,293","15,048,444","248,168,852",1
Perfect,ýý (Deluxe),Ed Sheeran,3/3/2017,167.5,"2,969,999,682",280165,81.0,"6,473,698,897","39,632,673","601,244,764","7,647,479,866",0
Pepas,Pepas,Farruko,6/24/2021,167.3,"1,500,499,584",359502,74.0,"1,431,591,689","11,553,088","290,811,371","4,067,248,819",1
Peekaboo,Glide - Single,Dave Angel,1/27/2023,167.2,"8,082",63,,"2,055,940,513","4,150,967",,,0
Ella Baila Sola,Ella Baila Sola,Eslabon Armado,3/16/2023,166.5,"1,215,336,974",129463,74.0,"701,880,622","3,831,236","550,073","15,373,104",0
